Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1999-01-11,Mon,5645.74318486,2133.22738145,1551.02284454,887.288327356,363.79373508,392.991855006,312.53399953,301.798287107,248.207969596,144.953666522
1999-01-12,Tue,5648.50474544,2134.81221732,1552.04189957,887.72677701,363.885296293,393.027407637,312.544971028,301.804290354,248.214593207,144.954661988
1999-01-13,Wed,5651.25708429,2136.39736263,1553.06093214,888.165372135,363.976868912,393.062970801,312.555950988,301.810302202,248.221225221,144.955666058
1999-01-14,Thu,5654.00366076,2137.98282351,1554.07992245,888.604116842,364.068451844,393.098543426,312.566938336,301.81632158,248.227864566,144.956677658
1999-01-15,Fri,5656.74789402,2139.56860439,1555.09884728,889.043013888,364.160042634,393.134123076,312.577930637,301.82234605,248.234508803,144.957694351
1999-01-16,Sat,5659.49317784,2141.15470812,1556.11768011,889.482064802,364.251637597,393.169706087,312.588924229,301.82837195,248.241154273,144.958712477
1999-01-17,Sun,5662.24289547,2142.74113647,1557.13639172,889.921270358,364.343232289,393.205288035,312.599914686,301.834394855,248.247796548,144.959727609
1999-01-18,Mon,5665.0004347,2144.32789095,1558.15495138,890.360631393,364.434822324,393.240864556,312.610897646,301.840410405,248.254431269,144.960735386
1999-01-19,Tue,5667.76920303,2145.9149739,1559.17332852,890.800149874,364.526404446,393.276432416,312.621869875,301.846415363,248.2610552,144.961732574
1999-01-20,Wed,5670.55264273,2147.5023895,1560.19149461,891.239829892,364.617977518,393.311990498,312.632830259,301.852408614,248.267667226,144.962718058
1999-01-21,Thu,5673.35424536,2149.09014435,1561.20942469,891.679678231,364.709543095,393.34754038,312.643780374,301.858391738,248.274268926,144.963693415
1999-01-22,Fri,5676.17756567,2150.67824738,1562.22709843,892.119704271,364.801105328,393.383086232,312.654724394,301.864368908,248.280864473,144.96466282
1999-01-23,Sat,5679.02623473,2152.26670909,1563.24450023,892.559919165,364.892670139,393.418634,312.665668263,301.870346067,248.287459813,144.965632217
1999-01-24,Sun,5681.90397242,2153.85554008,1564.26161875,893.00033444,364.984243823,393.454189998,312.676618299,301.876329532,248.294061261,144.966607923
1999-01-25,Mon,5684.81459973,2155.44474951,1565.27844589,893.440960339,365.07583139,393.489759259,312.687579534,301.882324337,248.300673851,144.967594971
1999-01-26,Tue,5687.76205101,2157.03434356,1566.29497571,893.88180435,365.167435095,393.525344059,312.698554245,301.888332759,248.307299859,144.968595637
1999-01-27,Wed,5690.75038678,2158.62432468,1567.31120371,894.322870398,365.25905363,393.560943109,312.709541143,301.894353509,248.313937999,144.969608634
1999-01-28,Thu,5693.78380713,2160.21469181,1568.32712675,894.764159043,365.35068232,393.596551756,312.720535578,301.900381936,248.320583618,144.97062931
1999-01-29,Fri,5696.86666572,2161.80544161,1569.34274359,895.205668733,365.442314377,393.632163232,312.731530781,301.906411271,248.327229948,144.971650898
1999-01-30,Sat,5700.00348351,2163.39657044,1570.35805565,895.647397723,365.533942817,393.667770576,312.742519792,301.912434554,248.333870028,144.972666435
1999-01-31,Sun,5703.19896142,2164.98807626,1571.37306763,896.089345988,365.62556238,393.703368546,312.753497369,301.918446544,248.340498618,144.973670682
1999-02-01,Mon,5706.45799064,2166.57995989,1572.38778719,896.531516464,365.717170759,393.738954857,312.764461229,301.924444957,248.347113433,144.974661354
1999-02-02,Tue,5709.78565957,2168.17222521,1573.40222399,896.97391523,365.808768795,393.774530371,312.775412233,301.930430654,248.353715335,144.975639312
1999-02-03,Wed,5713.18725699,2169.76487845,1574.41638797,897.416550784,365.90035974,393.810098359,312.786353653,301.936406907,248.360307595,144.97660783
1999-02-04,Thu,5716.66827062,2171.35792697,1575.43028771,897.85943283,365.991948054,393.845663304,312.797289973,301.942378201,248.366894698,144.97757139
1999-02-05,Fri,5720.23438071,2172.95137818,1576.44392913,898.302571141,366.083538264,393.881229753,312.80822574,301.948349081,248.37348119,144.978534539
1999-02-06,Sat,5723.89144744,2174.54523872,1577.45731487,898.745974785,366.175134186,393.916801543,312.819164792,301.954323387,248.38007091,144.979501117
1999-02-07,Sun,5727.64549034,2176.13951417,1578.47044415,899.189651769,366.266738579,393.952381453,312.830109908,301.960303898,248.386666637,144.980473901
1999-02-08,Mon,5731.50265769,2177.73420895,1579.48331293,899.633608959,366.358353054,393.987971118,312.841062724,301.966292248,248.393270006,144.981454528
1999-02-09,Tue,5735.46918321,2179.32932632,1580.49591408,900.077852091,366.449978093,394.023571038,312.852023741,301.97228894,248.399881519,144.9824435
1999-02-10,Wed,5739.55132724,2180.92486845,1581.50823739,900.522385768,366.541613041,394.059180581,312.862992328,301.978293341,248.406500545,144.983440184
1999-02-11,Thu,5743.75529924,2182.52083631,1582.52026943,900.96721342,366.63325607,394.09479794,312.873966678,301.984303646,248.413125277,144.984442774
1999-02-12,Fri,5748.08715858,2184.11722973,1583.53199333,901.412337304,366.724904177,394.130420133,312.884943811,301.990316874,248.419752734,144.985448291
1999-02-13,Sat,5752.55269014,2185.71404756,1584.54338871,901.857758671,366.816553348,394.166043168,312.895919735,301.996329034,248.426378927,144.986452742
1999-02-14,Sun,5757.15725192,2187.31128816,1585.55443194,902.30347827,366.908199071,394.201662555,312.90688996,302.002335636,248.432999364,144.987451638
1999-02-15,Mon,5761.905592,2188.90895038,1586.56509708,902.749497305,366.999837283,394.237274251,312.917850447,302.008332639,248.439610007,144.988440939
