Timestamp,G.Moon/G.Sun
1917-09-04 12:00,224.772
1917-09-20 12:00,47.855
1917-10-04 12:00,231.813
1917-10-19 12:00,41.757
1917-11-02 12:00,224.237
1917-11-18 12:00,48.369
1917-12-02 12:00,227.176
1917-12-17 12:00,43.071
1918-01-01 12:00,228.806
1918-01-16 12:00,51.439
1918-01-30 12:00,219.381
1918-02-14 12:00,46.268
1918-03-01 12:00,221.458
1918-03-15 12:00,40.731
1918-03-31 12:00,224.823
1918-04-14 12:00,48.022
1918-04-30 12:00,230.177
1918-05-13 12:00,41.541
1918-05-29 12:00,225.411
1918-06-12 12:00,46.767
1918-06-27 12:00,221.611
1918-07-11 12:00,39.62
1918-07-27 12:00,231.941
1918-08-10 12:00,43.38
1918-08-25 12:00,228.826
1918-09-09 12:00,46.6
1918-09-23 12:00,224.751
1918-10-09 12:00,49.871
1918-10-22 12:00,219.324
1918-11-07 12:00,42.499
1918-11-21 12:00,225.491
1918-12-07 12:00,47.454
1918-12-21 12:00,229.468
1919-01-05 12:00,41.48
1919-01-19 12:00,220.438
1919-02-04 12:00,49.314
1919-02-18 12:00,222.568
1919-03-05 12:00,44.553
1919-03-20 12:00,224.55
1919-04-03 12:00,39.785
1919-04-19 12:00,227.295
1919-05-03 12:00,48.489
1919-05-18 12:00,220.349
1919-06-01 12:00,43.209
1919-06-17 12:00,226.303
1919-07-01 12:00,50.048
1919-07-16 12:00,221.878
1919-07-30 12:00,43.448
1919-08-15 12:00,231.093
1919-08-29 12:00,47.534
1919-09-13 12:00,227.638
1919-09-27 12:00,39.425
1919-10-12 12:00,223.533
1919-10-27 12:00,41.719
1919-11-11 12:00,232.062
1919-11-26 12:00,44.149
1919-12-10 12:00,225.716
1919-12-26 12:00,47.696
1920-01-09 12:00,231.108
1920-01-24 12:00,40.866
1920-02-07 12:00,222.727
1920-02-23 12:00,47.507
1920-03-08 12:00,225.68
1920-03-23 12:00,42.687
1920-04-07 12:00,228.045
1920-04-22 12:00,52.066
1920-05-06 12:00,219.892
1920-05-21 12:00,48.263
1920-06-05 12:00,223.494
1920-06-19 12:00,44.203
1920-07-05 12:00,228.422
1920-07-18 12:00,39.526
1920-08-03 12:00,223.015
1920-08-17 12:00,46.516
1920-09-02 12:00,230.485
1920-09-15 12:00,39.441
1920-10-01 12:00,226.219
1920-10-15 12:00,42.796
1920-10-30 12:00,221.773
1920-11-14 12:00,44.872
1920-11-29 12:00,230.626
1920-12-14 12:00,46.626
1920-12-28 12:00,225.006
1921-01-13 12:00,48.978
1921-01-27 12:00,231.716
1921-02-11 12:00,41.245
1921-02-25 12:00,224.188
1921-03-13 12:00,46.555
1921-03-27 12:00,228.432
1921-04-11 12:00,41.455
1921-04-25 12:00,220.455
1921-05-11 12:00,50.786
1921-05-25 12:00,223.983
1921-06-09 12:00,47.676
1921-06-24 12:00,227.486
1921-07-08 12:00,44.395
1921-07-23 12:00,220.43
1921-08-06 12:00,40.381
1921-08-22 12:00,224.908
1921-09-05 12:00,48.353
1921-09-21 12:00,230.607
1921-10-04 12:00,41.657
1921-10-20 12:00,225.321
1921-11-03 12:00,45.759
1921-11-18 12:00,220.221
1921-12-03 12:00,48.128
1921-12-18 12:00,228.614
1922-01-02 12:00,49.562
1922-01-16 12:00,223.343
1922-01-31 12:00,40.282
1922-02-15 12:00,231.09
1922-03-02 12:00,42.674
1922-03-16 12:00,224.7
1922-04-01 12:00,46.969
1922-04-15 12:00,230.765
1922-04-30 12:00,41.464
1922-05-14 12:00,223.773
1922-05-30 12:00,50.028
1922-06-13 12:00,228.247
1922-06-28 12:00,46.864
1922-07-12 12:00,220.833
1922-07-27 12:00,43.726
1922-08-11 12:00,224.193
1922-08-25 12:00,40.041
1922-09-10 12:00,227.586
1922-09-24 12:00,48.976
1922-10-09 12:00,220.421
1922-10-23 12:00,42.93
1922-11-08 12:00,225.352
1922-11-22 12:00,48.106
1922-12-07 12:00,219.243
